PM10,PM2.5,Temp,Humid,Timestamp
1,1,36,46,2023-10-26 07:00
6,6,33,56,2023-10-26 06:00
4,4,36,41,2023-10-25 16:00
9,8,33,53,2023-10-25 06:00
8,6,32,54,2023-10-25 04:00
2,2,37,37,2023-10-23 16:00
3,3,34,38,2023-10-22 11:00
7,6,34,37,2023-10-22 08:00
13,12,30,48,2023-10-22 06:00
8,8,27,58,2023-10-22 05:00
4,4,34,44,2023-10-21 08:00
3,3,38,39,2023-10-12 16:00
6,4,38,38,2023-10-12 15:00
1,1,36,41,2023-10-12 12:00
3,2,35,41,2023-10-12 11:00
5,4,35,42,2023-10-12 10:00
8,7,35,42,2023-10-11 11:00
5,5,32,50,2023-10-11 07:00
4,2,31,53,2023-10-11 05:00
3,2,31,58,2023-10-09 05:00
3,1,31,57,2023-10-09 04:00
1,1,32,59,2023-10-08 01:00
1,1,33,58,2023-10-07 06:00
6,6,34,93,2023-10-03 05:00
6,6,35,57,2023-10-03 04:00
7,7,34,58,2023-10-01 04:00
9,7,34,57,2023-10-01 03:00
3,3,34,56,2023-10-01 02:00
3,3,36,50,2023-09-30 18:00
1,1,38,43,2023-09-30 15:00
2,1,31,62,2023-09-29 06:00
2,1,31,62,2023-09-28 06:00
1,1,32,58,2023-09-28 00:00
3,3,35,51,2023-09-25 18:00
15,11,37,48,2023-09-24 20:00
6,3,38,42,2023-09-24 14:00
18,15,34,58,2023-09-24 07:00
9,8,33,60,2023-09-23 06:00
4,4,33,58,2023-09-20 02:00
5,5,33,57,2023-09-20 01:00
1,1,33,57,2023-09-18 04:00
2,2,33,57,2023-09-18 03:00
2,2,33,57,2023-09-18 02:00
3,3,33,58,2023-09-16 18:00
3,3,34,55,2023-09-16 17:00
2,1,34,56,2023-09-16 14:00
4,1,32,59,2023-09-16 03:00
1,1,33,57,2023-09-15 01:00
1,1,35,49,2023-09-13 09:00
2,2,-47,51,2023-09-11 23:00
1,1,33,57,2023-09-10 06:00
3,3,33,56,2023-09-09 06:00
3,3,33,56,2023-09-09 05:00
6,4,33,55,2023-09-09 04:00
2,2,34,55,2023-09-09 03:00
3,3,34,54,2023-09-09 02:00
4,4,31,65,2023-09-07 07:00
1,1,33,58,2023-09-07 05:00
3,3,34,53,2023-08-25 05:00
4,4,33,55,2023-08-23 06:00
3,3,35,50,2023-08-20 06:00
5,5,36,48,2023-08-20 05:00
6,6,37,44,2023-08-13 08:00
7,6,43,33,2023-08-12 08:00
11,8,39,41,2023-08-12 07:00
15,10,35,48,2023-08-12 06:00
12,8,35,47,2023-08-12 05:00
8,8,35,46,2023-08-12 04:00
9,6,37,45,2023-08-11 23:00
9,9,37,44,2023-08-11 22:00
8,8,35,46,2023-08-11 20:00
5,3,35,51,2023-08-08 21:00
3,3,35,49,2023-08-08 20:00
6,5,36,47,2023-08-08 19:00
11,10,33,55,2023-08-08 06:00
8,6,33,54,2023-08-06 22:00
9,7,34,52,2023-08-06 05:00
6,6,35,48,2023-08-05 20:00
2,2,33,52,2023-08-05 05:00
3,3,34,50,2023-08-03 23:00
9,7,34,54,2023-08-03 08:00
5,5,33,56,2023-08-03 07:00
3,3,33,56,2023-08-03 04:00
7,5,33,57,2023-08-03 03:00
3,3,31,63,2023-08-03 02:00
10,7,35,56,2023-08-02 19:00
5,5,35,54,2023-08-02 18:00
6,5,34,57,2023-08-02 09:00
13,7,33,58,2023-08-02 08:00
5,4,33,57,2023-08-02 07:00
2,2,33,57,2023-08-02 05:00
3,3,33,56,2023-08-02 03:00
5,5,39,40,2023-08-01 11:00
8,6,38,42,2023-08-01 10:00
5,5,35,50,2023-08-01 05:00
5,5,36,48,2023-07-31 09:00
5,4,37,46,2023-07-31 08:00
5,4,36,49,2023-07-31 07:00
5,4,35,50,2023-07-31 06:00
3,3,35,49,2023-07-31 05:00
4,4,35,49,2023-07-31 04:00
3,2,35,48,2023-07-31 03:00
4,3,35,47,2023-07-31 02:00
1,1,36,47,2023-07-31 01:00
1,1,36,45,2023-07-31 00:00
1,1,36,46,2023-07-30 23:00
2,2,35,47,2023-07-30 08:00
3,2,35,47,2023-07-30 07:00
3,3,35,48,2023-07-30 06:00
4,4,35,49,2023-07-30 05:00
5,4,35,49,2023-07-30 04:00
5,4,,50,2023-07-30 03:00
4,4,,49,2023-07-30 02:00
4,3,35,51,2023-07-30 01:00
8,5,37,45,2023-07-29 21:00
4,4,37,44,2023-07-29 20:00
5,4,38,43,2023-07-29 18:00
2,1,39,40,2023-07-29 17:00
3,3,39,37,2023-07-29 08:00
4,3,36,45,2023-07-29 07:00
4,4,35,47,2023-07-29 06:00
6,5,35,47,2023-07-29 05:00
5,4,35,47,2023-07-29 04:00
3,3,36,46,2023-07-29 03:00
4,3,36,46,2023-07-29 02:00
3,3,36,45,2023-07-29 01:00
2,2,36,45,2023-07-28 07:00
2,2,35,46,2023-07-28 06:00
2,2,36,45,2023-07-28 05:00
4,2,36,45,2023-07-28 03:00
4,2,36,45,2023-07-28 02:00
1,1,32,60,2023-07-26 06:00
1,1,33,55,2023-07-23 08:00
1,1,31,58,2023-07-23 04:00
3,2,37,50,2023-07-21 20:00
3,2,39,43,2023-07-21 17:00
8,6,38,40,2023-07-19 19:00
9,9,39,39,2023-07-19 18:00
3,2,37,41,2023-07-19 17:00
4,2,35,46,2023-07-18 19:00
3,3,35,45,2023-07-18 06:00
2,2,35,47,2023-07-18 05:00
3,3,35,48,2023-07-18 04:00
6,5,36,50,2023-07-18 02:00
4,4,43,31,2023-07-17 09:00
4,4,36,52,2023-07-17 06:00
5,4,34,53,2023-07-17 05:00
2,2,35,52,2023-07-17 04:00
6,6,35,53,2023-07-16 03:00
5,5,36,50,2023-07-16 02:00
3,3,37,44,2023-07-16 01:00
