Timestamp,PM10,PM25,Temp,Humid
10/13/2023 15:00,20,18,,
10/13/2023 14:00,17,16,,
10/13/2023 13:00,13,12,,
10/13/2023 12:00,15,14,,
10/13/2023 11:00,14,13,,
10/13/2023 10:00,12,11,,
10/13/2023 9:00,11,10,,
10/13/2023 8:00,12,11,,
10/13/2023 7:00,13,12,,
10/13/2023 6:00,13,12,,
10/13/2023 5:00,12,11,,
10/13/2023 4:00,12,11,,
10/13/2023 3:00,12,11,,
10/13/2023 2:00,16,15,,
10/13/2023 1:00,19,18,,
10/13/2023 0:00,21,20,,
10/12/2023 23:00,17,15,,
10/12/2023 22:00,14,13,,
10/12/2023 21:00,14,13,,
10/12/2023 20:00,17,15,,
10/12/2023 19:00,15,14,,
10/12/2023 18:00,18,17,,
10/12/2023 17:00,15,14,,
10/12/2023 16:00,13,12,,
10/12/2023 15:00,11,11,,
10/12/2023 14:00,12,11,,
10/12/2023 13:00,13,12,,
10/12/2023 12:00,11,10,,
10/12/2023 11:00,11,10,,
10/12/2023 10:00,8,8,,
10/12/2023 9:00,8,7,,
10/12/2023 8:00,8,8,,
10/12/2023 7:00,8,7,,
10/12/2023 6:00,5,5,,
10/12/2023 5:00,4,3,,
10/12/2023 4:00,2,2,,
10/12/2023 3:00,3,3,,
10/12/2023 2:00,2,2,,
10/12/2023 1:00,14,12,,
10/12/2023 0:00,19,18,,
10/11/2023 23:00,22,20,,
10/11/2023 22:00,21,19,,
10/11/2023 21:00,24,22,,
10/11/2023 20:00,25,23,,
10/11/2023 19:00,26,23,,
10/11/2023 18:00,22,20,,
10/11/2023 17:00,23,20,,
10/11/2023 16:00,23,21,,
10/11/2023 15:00,19,18,,
10/11/2023 14:00,18,17,,
10/11/2023 13:00,22,21,,
10/11/2023 12:00,23,21,,
10/11/2023 11:00,23,21,,
10/11/2023 10:00,18,16,,
10/11/2023 9:00,18,17,,
10/11/2023 8:00,23,21,,
10/11/2023 7:00,17,16,,
10/11/2023 6:00,18,16,,
10/11/2023 5:00,17,15,,
10/11/2023 4:00,17,16,,
10/11/2023 3:00,21,19,,
10/11/2023 2:00,19,18,,
10/11/2023 1:00,19,18,,
10/11/2023 0:00,17,15,,
10/10/2023 23:00,18,17,,
10/10/2023 22:00,24,22,,
10/10/2023 21:00,19,17,,
10/10/2023 20:00,14,13,,
10/10/2023 19:00,13,12,,
10/10/2023 18:00,13,12,,
10/3/2023 7:00,8,7,,
10/3/2023 6:00,7,7,,
10/3/2023 5:00,10,9,,
10/3/2023 4:00,8,7,,
10/3/2023 3:00,5,4,,
10/3/2023 2:00,11,10,,
10/3/2023 1:00,8,7,,
10/3/2023 0:00,7,6,,
10/2/2023 23:00,6,6,,
10/2/2023 22:00,6,5,,
10/2/2023 21:00,10,9,,
10/2/2023 20:00,9,9,,
10/2/2023 19:00,6,6,,
10/2/2023 18:00,9,8,,
10/2/2023 17:00,4,4,,
10/2/2023 16:00,6,6,,
10/2/2023 15:00,4,4,,
10/2/2023 14:00,6,5,,
10/2/2023 13:00,7,7,,
10/2/2023 12:00,7,7,,
10/2/2023 11:00,8,7,,
10/2/2023 10:00,8,7,,
10/2/2023 9:00,6,5,,
10/2/2023 8:00,6,5,,
10/2/2023 7:00,6,5,,
10/2/2023 6:00,7,6,,
10/2/2023 5:00,5,5,,
10/2/2023 4:00,6,6,,
10/2/2023 3:00,7,7,,
10/2/2023 2:00,10,9,,
10/2/2023 1:00,13,12,,
10/2/2023 0:00,6,5,,
10/1/2023 23:00,7,6,,
10/1/2023 22:00,12,11,,
10/1/2023 21:00,9,9,,
10/1/2023 20:00,6,6,,
10/1/2023 19:00,6,5,,
10/1/2023 18:00,3,3,,
10/1/2023 17:00,2,2,,
10/1/2023 16:00,2,2,,
10/1/2023 15:00,2,2,,
10/1/2023 14:00,2,2,,
10/1/2023 13:00,3,3,,
10/1/2023 12:00,3,3,,
10/1/2023 11:00,4,3,,
10/1/2023 10:00,4,4,,
10/1/2023 9:00,7,6,,
10/1/2023 8:00,7,6,,
10/1/2023 7:00,7,6,,
10/1/2023 6:00,6,5,,
10/1/2023 5:00,4,4,,
10/1/2023 4:00,6,5,,
10/1/2023 3:00,4,4,,
10/1/2023 2:00,3,2,,
10/1/2023 1:00,3,2,,
10/1/2023 0:00,3,3,,
9/30/2023 23:00,4,4,,
9/30/2023 22:00,5,5,,
9/30/2023 21:00,6,5,,
9/30/2023 20:00,7,7,,
9/30/2023 19:00,5,4,,
9/30/2023 18:00,4,4,,
9/30/2023 17:00,4,4,,
9/30/2023 16:00,4,4,,
9/30/2023 15:00,3,3,,
9/30/2023 14:00,4,3,,
9/30/2023 13:00,4,4,,
9/30/2023 12:00,4,4,,
9/30/2023 11:00,4,4,,
9/30/2023 10:00,4,3,,
9/30/2023 9:00,6,6,,
9/30/2023 8:00,8,8,,
9/30/2023 7:00,9,8,,
9/30/2023 6:00,6,6,,
9/30/2023 5:00,5,5,,
9/30/2023 4:00,6,6,,
9/30/2023 3:00,5,4,,
9/30/2023 2:00,6,6,,
9/30/2023 1:00,8,7,,
9/30/2023 0:00,8,8,,
9/29/2023 23:00,7,7,,
9/29/2023 22:00,16,15,,
9/29/2023 21:00,17,16,,
9/29/2023 20:00,11,10,,
9/29/2023 19:00,9,9,,
9/29/2023 18:00,7,6,,
9/29/2023 17:00,3,3,,
9/29/2023 16:00,3,3,,
9/29/2023 15:00,5,5,,
9/29/2023 14:00,5,4,,
9/29/2023 13:00,5,5,,
9/29/2023 12:00,11,10,,
9/29/2023 11:00,9,8,,
9/29/2023 10:00,11,10,,
9/29/2023 9:00,7,7,,
9/29/2023 8:00,12,11,,
9/29/2023 7:00,15,15,,
9/29/2023 6:00,22,21,,
9/29/2023 5:00,25,25,,
9/29/2023 4:00,20,20,,
9/29/2023 3:00,26,26,,
9/29/2023 2:00,22,21,,
9/29/2023 1:00,3,2,,
9/29/2023 0:00,2,2,,
9/28/2023 23:00,4,3,,
9/28/2023 22:00,10,9,,
9/28/2023 21:00,16,15,,
9/28/2023 20:00,15,14,,
9/28/2023 19:00,16,15,,
9/28/2023 18:00,13,12,,
9/28/2023 17:00,9,9,,
9/28/2023 16:00,10,10,,
9/28/2023 15:00,12,11,,
9/28/2023 14:00,11,10,,
9/28/2023 13:00,10,10,,
9/28/2023 12:00,9,9,,
9/28/2023 11:00,10,9,,
9/28/2023 10:00,6,6,,
9/28/2023 9:00,7,7,,
9/28/2023 8:00,8,8,,
9/28/2023 7:00,9,8,,
9/28/2023 6:00,8,7,,
9/28/2023 5:00,8,7,,
9/28/2023 4:00,9,9,,
9/28/2023 3:00,13,13,,
9/28/2023 2:00,11,11,,
9/28/2023 1:00,9,8,,
9/28/2023 0:00,6,6,,
9/27/2023 23:00,6,6,,
9/27/2023 22:00,8,8,,
9/27/2023 21:00,10,9,,
9/27/2023 20:00,10,9,,
9/27/2023 19:00,5,5,,
9/27/2023 18:00,7,7,,
9/27/2023 17:00,12,11,,
9/27/2023 16:00,10,9,,
9/27/2023 15:00,8,8,,
9/27/2023 14:00,10,9,,
9/27/2023 13:00,12,11,,
9/27/2023 12:00,17,16,,
9/27/2023 11:00,20,19,,
9/27/2023 10:00,21,19,,
9/27/2023 9:00,21,20,,
9/27/2023 8:00,27,26,,
9/27/2023 7:00,26,24,,
9/27/2023 6:00,26,25,,
9/27/2023 5:00,25,23,,
9/27/2023 4:00,25,23,,
9/27/2023 3:00,25,23,,
9/27/2023 2:00,24,22,,
9/27/2023 1:00,25,23,,
9/27/2023 0:00,24,22,,
9/26/2023 23:00,26,25,,
9/26/2023 22:00,30,28,,
9/26/2023 21:00,28,26,,
9/26/2023 20:00,26,24,,
9/26/2023 19:00,28,26,,
9/26/2023 18:00,21,20,,
9/26/2023 17:00,18,17,,
9/26/2023 16:00,16,15,,
9/26/2023 15:00,15,14,,
9/26/2023 14:00,13,12,,
9/26/2023 13:00,12,11,,
9/26/2023 12:00,12,11,,
9/26/2023 11:00,12,12,,
9/26/2023 10:00,16,15,,
9/26/2023 9:00,17,16,,
9/26/2023 8:00,18,17,,
9/26/2023 7:00,24,22,,
9/26/2023 6:00,24,23,,
9/26/2023 5:00,24,23,,
9/26/2023 4:00,20,19,,
9/26/2023 3:00,24,23,,
9/26/2023 2:00,25,23,,
9/26/2023 1:00,22,20,,
9/26/2023 0:00,24,22,,
9/25/2023 23:00,24,23,,
9/25/2023 22:00,19,18,,
9/25/2023 21:00,20,19,,
9/25/2023 20:00,30,27,,
9/25/2023 19:00,24,23,,
9/25/2023 18:00,23,22,,
9/25/2023 17:00,21,20,,
9/25/2023 16:00,20,19,,
9/25/2023 15:00,19,18,,
9/25/2023 14:00,22,21,,
9/25/2023 13:00,26,24,,
9/25/2023 12:00,22,21,,
9/25/2023 11:00,21,20,,
9/25/2023 10:00,21,20,,
9/25/2023 9:00,22,21,,
9/25/2023 8:00,27,24,,
9/25/2023 7:00,26,23,,
9/25/2023 6:00,24,22,,
9/25/2023 5:00,23,21,,
9/25/2023 4:00,24,22,,
9/25/2023 3:00,24,22,,
9/25/2023 2:00,26,24,,
9/25/2023 1:00,30,28,,
9/25/2023 0:00,30,27,,
9/24/2023 23:00,32,29,,
9/24/2023 22:00,28,25,,
9/24/2023 21:00,24,22,,
9/24/2023 20:00,36,32,,
9/24/2023 19:00,25,23,,
9/24/2023 18:00,16,15,,
9/24/2023 17:00,13,12,,
9/24/2023 16:00,12,11,,
9/24/2023 15:00,14,14,,
9/24/2023 14:00,19,18,,
9/24/2023 13:00,21,20,,
9/24/2023 12:00,23,22,,
9/24/2023 11:00,25,24,,
9/24/2023 10:00,24,22,,
9/24/2023 9:00,21,20,,
9/24/2023 8:00,21,19,,
9/24/2023 7:00,22,21,,
9/24/2023 6:00,21,19,,
9/24/2023 5:00,21,19,,
9/24/2023 4:00,23,22,,
9/24/2023 3:00,22,21,,
9/24/2023 2:00,23,22,,
9/24/2023 1:00,22,21,,
9/24/2023 0:00,25,23,,
9/23/2023 23:00,28,26,,
9/23/2023 22:00,39,34,,
9/23/2023 21:00,38,33,,
9/23/2023 20:00,43,36,,
9/23/2023 19:00,35,31,,
9/23/2023 18:00,20,19,,
9/23/2023 17:00,17,16,,
9/23/2023 16:00,16,15,,
9/23/2023 15:00,15,14,,
9/23/2023 14:00,13,12,,
9/23/2023 13:00,15,14,,
9/23/2023 12:00,15,15,,
9/23/2023 11:00,15,14,,
9/23/2023 10:00,16,15,,
9/23/2023 9:00,19,18,,
9/23/2023 8:00,20,18,,
9/23/2023 7:00,21,19,,
9/23/2023 6:00,23,21,,
9/23/2023 5:00,21,19,,
9/23/2023 4:00,22,21,,
9/23/2023 3:00,25,23,,
9/23/2023 2:00,28,26,,
9/23/2023 1:00,23,21,,
9/23/2023 0:00,12,11,,
9/22/2023 23:00,16,15,,
9/22/2023 22:00,24,22,,
9/22/2023 21:00,23,21,,
9/22/2023 20:00,26,24,,
9/22/2023 19:00,20,19,,
9/22/2023 18:00,15,14,,
9/22/2023 17:00,11,10,,
9/22/2023 16:00,10,9,,
9/22/2023 15:00,13,12,,
9/22/2023 14:00,14,13,,
9/22/2023 13:00,14,13,,
9/22/2023 12:00,15,14,,
9/22/2023 11:00,18,17,,
9/22/2023 10:00,17,16,,
9/22/2023 9:00,15,13,,
9/22/2023 8:00,15,13,,
9/22/2023 7:00,12,10,,
9/22/2023 6:00,10,9,,
9/22/2023 5:00,9,8,,
9/22/2023 4:00,8,7,,
9/22/2023 3:00,10,9,,
9/22/2023 2:00,11,10,,
9/22/2023 1:00,12,11,,
9/22/2023 0:00,14,12,,
9/21/2023 23:00,12,11,,
9/21/2023 22:00,14,12,,
9/21/2023 21:00,16,14,,
9/21/2023 20:00,19,18,,
9/21/2023 19:00,17,16,,
9/21/2023 18:00,11,10,,
9/21/2023 17:00,9,8,,
9/21/2023 16:00,9,8,,
9/21/2023 15:00,11,10,,
9/21/2023 14:00,8,7,,
9/21/2023 13:00,4,4,,
9/21/2023 12:00,6,6,,
9/21/2023 11:00,9,8,,
9/21/2023 10:00,10,10,,
9/21/2023 9:00,10,9,,
9/21/2023 8:00,11,11,,
9/21/2023 7:00,13,12,,
9/21/2023 6:00,8,8,,
9/21/2023 5:00,8,7,,
9/21/2023 4:00,7,6,,
9/21/2023 3:00,6,6,,
9/21/2023 2:00,7,6,,
9/21/2023 1:00,12,10,,
9/21/2023 0:00,12,11,,
9/20/2023 23:00,12,10,,
9/20/2023 22:00,11,10,,
9/20/2023 21:00,8,7,,
9/20/2023 20:00,7,7,,
9/20/2023 19:00,7,7,,
9/20/2023 18:00,8,7,,
9/20/2023 17:00,4,4,,
9/20/2023 16:00,12,11,,
9/20/2023 15:00,13,12,,
9/20/2023 14:00,11,10,,
9/20/2023 13:00,11,10,,
9/20/2023 12:00,12,11,,
9/20/2023 11:00,12,11,,
9/20/2023 10:00,10,9,,
9/20/2023 9:00,11,10,,
9/20/2023 8:00,10,9,,
9/20/2023 7:00,9,8,,
9/20/2023 6:00,16,14,,
9/20/2023 5:00,12,11,,
9/20/2023 4:00,10,9,,
9/20/2023 3:00,15,14,,
9/20/2023 2:00,15,15,,
9/20/2023 1:00,15,14,,
9/20/2023 0:00,16,15,,
9/19/2023 23:00,14,13,,
9/19/2023 22:00,16,15,,
9/19/2023 21:00,21,19,,
9/19/2023 20:00,19,18,,
9/19/2023 19:00,13,12,,
9/19/2023 18:00,10,9,,
9/19/2023 17:00,8,8,,
9/19/2023 16:00,7,6,,
9/19/2023 15:00,7,7,,
9/19/2023 14:00,7,6,,
9/19/2023 13:00,6,6,,
9/19/2023 12:00,7,6,,
9/19/2023 11:00,7,7,,
9/19/2023 10:00,9,8,,
9/19/2023 9:00,9,9,,
9/19/2023 8:00,14,13,,
9/19/2023 7:00,8,8,,
9/19/2023 6:00,5,4,,
9/19/2023 5:00,4,4,,
9/19/2023 4:00,3,3,,
9/19/2023 3:00,4,4,,
9/19/2023 2:00,6,6,,
9/19/2023 1:00,5,5,,
9/19/2023 0:00,3,3,,
9/18/2023 23:00,2,2,,
9/18/2023 22:00,3,2,,
9/18/2023 21:00,2,2,,
9/18/2023 18:00,4,3,,
9/18/2023 17:00,4,4,,
9/18/2023 16:00,3,3,,
9/18/2023 15:00,2,2,,
9/18/2023 14:00,3,2,,
9/18/2023 13:00,4,3,,
9/18/2023 12:00,4,4,,
9/18/2023 11:00,4,3,,
9/18/2023 10:00,3,3,,
9/18/2023 9:00,4,4,,
9/18/2023 8:00,11,10,,
9/18/2023 7:00,18,16,,
9/18/2023 6:00,14,13,,
9/18/2023 5:00,15,14,,
9/18/2023 4:00,16,14,,
9/18/2023 3:00,11,10,,
9/18/2023 2:00,10,10,,
9/18/2023 1:00,10,9,,
9/18/2023 0:00,9,8,,
9/17/2023 23:00,10,9,,
9/17/2023 22:00,11,10,,
9/17/2023 21:00,15,14,,
9/17/2023 20:00,13,12,,
9/17/2023 19:00,11,10,,
9/17/2023 18:00,10,9,,
9/17/2023 17:00,9,8,,
9/17/2023 16:00,8,7,,
9/17/2023 15:00,5,5,,
9/17/2023 14:00,5,4,,
9/17/2023 13:00,4,4,,
9/17/2023 12:00,4,4,,
9/17/2023 11:00,7,7,,
9/17/2023 10:00,10,10,,
9/17/2023 9:00,9,8,,
9/17/2023 8:00,12,11,,
9/17/2023 7:00,13,12,,
9/17/2023 6:00,9,8,,
9/17/2023 5:00,6,6,,
9/17/2023 4:00,5,4,,
9/17/2023 3:00,7,6,,
9/17/2023 2:00,6,5,,
9/17/2023 1:00,6,5,,
9/17/2023 0:00,5,4,,
9/16/2023 23:00,6,5,,
9/16/2023 22:00,5,4,,
9/16/2023 21:00,6,5,,
9/16/2023 20:00,7,6,,
9/16/2023 19:00,6,5,,
9/16/2023 18:00,8,7,,
9/16/2023 17:00,5,4,,
9/16/2023 16:00,5,5,,
9/16/2023 15:00,2,2,,
9/16/2023 14:00,2,2,,
9/16/2023 13:00,2,2,,
9/16/2023 12:00,3,3,,
9/16/2023 11:00,4,3,,
9/16/2023 10:00,4,3,,
9/16/2023 9:00,8,7,,
9/16/2023 8:00,7,7,,
9/16/2023 7:00,5,4,,
9/16/2023 6:00,4,4,,
9/16/2023 5:00,5,4,,
9/16/2023 4:00,5,5,,
9/16/2023 3:00,5,5,,
9/16/2023 2:00,6,6,,
9/16/2023 1:00,7,7,,
9/16/2023 0:00,7,6,,
9/15/2023 23:00,8,8,,
9/15/2023 22:00,9,9,,
9/15/2023 21:00,7,6,,
9/15/2023 20:00,11,10,,
9/15/2023 19:00,9,8,,
9/15/2023 18:00,6,6,,
9/15/2023 17:00,6,6,,
9/15/2023 16:00,12,11,,
9/15/2023 15:00,11,11,,
9/15/2023 14:00,12,11,,
9/15/2023 13:00,8,8,,
9/15/2023 12:00,6,6,,
9/15/2023 11:00,6,6,,
9/15/2023 10:00,10,9,,
9/15/2023 9:00,10,9,,
9/15/2023 8:00,12,11,,
9/15/2023 7:00,12,11,,
9/15/2023 6:00,12,11,,
9/15/2023 5:00,8,8,,
9/15/2023 4:00,7,6,,
9/15/2023 3:00,7,6,,
9/15/2023 2:00,7,6,,
9/15/2023 1:00,6,6,,
