PM10,PM2.5,Temp,Humid,Timestamp
36,32,,,2023-10-15 18:00
17,16,,,2023-10-15 17:00
15,15,,,2023-10-15 16:00
12,11,,,2023-10-15 15:00
10,10,,,2023-10-15 14:00
11,11,,,2023-10-15 13:00
11,11,,,2023-10-15 12:00
12,12,,,2023-10-15 11:00
13,13,,,2023-10-15 10:00
13,13,,,2023-10-15 09:00
15,15,,,2023-10-15 08:00
18,17,,,2023-10-15 07:00
21,20,,,2023-10-15 06:00
18,18,,,2023-10-15 05:00
16,15,,,2023-10-15 04:00
14,14,,,2023-10-15 03:00
14,13,,,2023-10-15 02:00
15,14,,,2023-10-15 01:00
18,17,,,2023-10-15 00:00
18,17,,,2023-10-14 23:00
23,22,,,2023-10-14 22:00
22,21,,,2023-10-14 21:00
24,23,,,2023-10-14 20:00
19,18,,,2023-10-14 19:00
13,13,,,2023-10-14 18:00
11,10,,,2023-10-14 17:00
9,9,,,2023-10-14 16:00
9,9,,,2023-10-14 15:00
8,8,,,2023-10-14 14:00
8,8,,,2023-10-14 13:00
8,8,,,2023-10-14 12:00
9,8,,,2023-10-14 11:00
11,10,,,2023-10-14 10:00
12,11,,,2023-10-14 09:00
14,13,,,2023-10-14 08:00
16,16,,,2023-10-14 07:00
22,22,,,2023-10-14 06:00
17,17,,,2023-10-14 05:00
14,13,,,2023-10-14 04:00
14,13,,,2023-10-14 03:00
11,11,,,2023-10-14 02:00
11,10,,,2023-10-14 01:00
14,14,,,2023-10-14 00:00
11,10,,,2023-10-13 23:00
10,10,,,2023-10-13 22:00
10,10,,,2023-10-13 21:00
10,9,,,2023-10-13 20:00
11,10,,,2023-10-13 19:00
11,11,,,2023-10-13 18:00
9,8,,,2023-10-13 17:00
6,6,,,2023-10-13 16:00
5,5,,,2023-10-13 15:00
5,4,,,2023-10-13 14:00
4,4,,,2023-10-13 13:00
4,4,,,2023-10-13 12:00
4,4,,,2023-10-13 11:00
5,5,,,2023-10-13 10:00
6,6,,,2023-10-13 09:00
5,5,,,2023-10-13 08:00
9,8,,,2023-10-13 07:00
19,18,,,2023-10-13 06:00
12,12,,,2023-10-13 05:00
8,8,,,2023-10-13 04:00
9,8,,,2023-10-13 03:00
10,10,,,2023-10-13 02:00
12,12,,,2023-10-13 01:00
15,14,,,2023-10-13 00:00
16,16,,,2023-10-12 23:00
21,20,,,2023-10-12 22:00
28,27,,,2023-10-12 21:00
17,16,,,2023-10-12 20:00
12,12,,,2023-10-12 19:00
11,10,,,2023-10-12 18:00
17,16,,,2023-10-12 17:00
15,14,,,2023-10-12 16:00
6,6,,,2023-10-12 15:00
7,7,,,2023-10-12 14:00
7,7,,,2023-10-12 13:00
7,7,,,2023-10-12 12:00
7,7,,,2023-10-12 11:00
8,8,,,2023-10-12 10:00
8,8,,,2023-10-12 09:00
9,9,,,2023-10-12 08:00
13,13,,,2023-10-12 07:00
14,13,,,2023-10-12 06:00
12,12,,,2023-10-12 05:00
10,9,,,2023-10-12 04:00
10,10,,,2023-10-12 03:00
11,10,,,2023-10-12 02:00
12,11,,,2023-10-12 01:00
20,19,,,2023-10-12 00:00
23,22,,,2023-10-11 23:00
22,21,,,2023-10-11 22:00
23,22,,,2023-10-11 21:00
22,21,,,2023-10-11 20:00
20,19,,,2023-10-11 19:00
22,21,,,2023-10-11 18:00
16,15,,,2023-10-11 17:00
12,12,,,2023-10-11 16:00
12,12,,,2023-10-11 15:00
11,10,,,2023-10-11 14:00
12,11,,,2023-10-11 13:00
14,13,,,2023-10-11 12:00
15,14,,,2023-10-11 11:00
16,15,,,2023-10-11 10:00
15,15,,,2023-10-11 09:00
14,14,,,2023-10-11 08:00
15,14,,,2023-10-11 07:00
15,14,,,2023-10-11 06:00
12,11,,,2023-10-11 05:00
7,7,,,2023-10-11 04:00
8,8,,,2023-10-11 03:00
8,7,,,2023-10-11 02:00
10,10,,,2023-10-11 01:00
10,10,,,2023-10-11 00:00
10,9,,,2023-10-10 23:00
14,14,,,2023-10-10 22:00
25,24,,,2023-10-10 21:00
27,26,,,2023-10-10 20:00
26,25,,,2023-10-10 19:00
24,23,,,2023-10-10 18:00
20,19,,,2023-10-10 17:00
17,16,,,2023-10-10 16:00
11,11,,,2023-10-10 15:00
13,12,,,2023-10-10 14:00
17,16,,,2023-10-10 13:00
18,17,,,2023-10-10 12:00
